Name,Emulated,ReleaseDate,Developer,Manufacturer,Cpu,Memory,Graphics,Sound,Display,Media,MaxControllers,Notes,Category
Atari Lynx,true,1989-09-01,"Atari Corporation, Epyx, Inc.",Atari Corporation,WDC 65SC02 (Mikey) @ 4 MHz,64 KB,16-bit custom CMOS chip Atari Suzy @ 16 MHz,"4-channels, 8-bit DAC per channel",160x102,ROM cartridge,1,"The Atari Lynx is a 16-bit handheld game console that was developed and distributed by Atari Corporation. It was released in September 1989 in North America at a retail price of $149.95. The handheld was also released in Europe (1990) and Japan (1990). The Lynx was the world's first handheld electronic game with a color LCD screen. The console was discontinued in early 1996, possibly at the time of the company's sale on April 8, 1996.",Handhelds
Atari XEGS,true,1987-11-01,Atari,Atari,Custom MOS Technology 6502C,64 KB RAM,Atari Graphic Television Interface Adaptor (GTIA),"Atari Pot Keyboard Integrated Circuit (POKEY), 4 channels",320 x 192,ROM Cartridge,2,"The Atari XE Video Game System, commonly known as the Atari XEGS, is a third generation (1983-2003) video game console developed and distributed by Atari Corporation. It was released in November 1987 in North America at a retail price of $199.99. The console was not released outside North America. The XEGS was able to operate as either a stand-alone console or full computer with the addition of its specially designed keyboard. The console was discontinued on January 1, 1992.",Consoles
ColecoVision,true,1982-08-01,"Coleco Industries, Inc.","Coleco Industries, Inc.",8-bit NEC uPD780C @ 3.58 MHz,"1 KB main RAM, 16 KB Video RAM",TI TMS9918A @ 5.4 MHz,"TI SN76489A, 3 tone and 1 noise channels",256x192,Cartridge,2,The ColecoVision is a second generation (1976–1992) home video game console developed and distributed by Coleco Industries. It was released in August 1982 in North America at a retail price of $175. The console was later released in Europe (1983). The ColecoVision offered a closer experience to arcade games than its competitors at the time. The console was discontinued in mid-1985.,Consoles
Commodore 64,true,1982-01-01,Commodore,Commodore,MOS Technology 6510,64 KB RAM and 20 KB ROM,MOS Technology VIC-ll,MOS Technology 6581/8580 SID,320x200,"Cartridge, Tape, Floppy optional",2,"The Commodore 64 is an 8-bit home computer introduced in January 1982 by Commodore International. It is listed in the Guinness World Records as the highest-selling single computer model of all time, with independent estimates placing the number sold between 10 and 17 million units. Volume production started in early 1982, marketing in August for US$595 (equivalent to $1,461 in 2015). Preceded by the Commodore VIC-20 and Commodore PET, the C64 took its name from its 64 kilobytes (65,536 bytes) of RAM. It had superior sound and graphical specifications compared to other earlier systems such as the Apple II and Atari 800, with multi-color sprites and a more advanced sound processor.",Computers
Mattel Intellivision,true,1979-12-03,Mattel Electronics,Mattel Electronics,16-bit GI CP1610 @ 894.886 KHz,"944 Bytes main RAM, 512 Bytes video RAM",GI AY-3-8900 @ 3.58 MHz,"GI AY-3-8910, 4 channels (3 sound, 1 noise)","159x96, (159x192 on TV with scanline doubling)",Cartridge,2,"The Mattel Intellivision is a second generation (1976–1992) home video game console developed and distributed by Mattel Electronics. It was released in summer 1979 in North America at a retail price of $299. The console was later released in Europe (1981), South America (1982), and Japan (1982). The Intellivision was the first home console to use a tile based playfield and was the first game console to provide real-time human voices in the middle of gameplay, courtesy of the IntelliVoice module. The console was discontinued in early-1990.",Consoles
Apple iOS,true,2007-06-29,Apple,Apple,64- and 32-bit ARM architectures:  iOS 7 and later (ARMv8-A)  iPhone OS 3 and later (ARMv7-A)  iPhone OS 1–iOS 4.2.1 (ARMv6),,,,Touchscreen,,,"iOS (originally iPhone OS) is a mobile operating system created and developed by Apple Inc. and distributed exclusively for Apple hardware. It is the operating system that presently powers many of the company's mobile devices, including the iPhone, iPad, and iPod touch.

Originally unveiled in 2007 for the iPhone, it has been extended to support other Apple devices such as the iPod Touch (September 2007), iPad (January 2010), iPad Mini (November 2012) and second-generation Apple TV onward (September 2010). As of January 2015, Apple's App Store contained more than 1.4 million iOS applications, 725,000 of which are native for iPad. These mobile apps have collectively been downloaded more than 100 billion times. It had a 21% share of the smartphone mobile operating system units shipped in the fourth quarter of 2012, behind Google's Android. By the middle of 2012, there were 410 million devices activated. At WWDC 2014, Tim Cook said 800 million devices had been sold by June 2014. During Apple's quarterly earnings call in January 27, 2015, Apple announced that they have now sold one billion iOS devices.

The user interface of iOS is based on the concept of direct manipulation, using multi-touch gestures. Interface control elements consist of sliders, switches, and buttons. Interaction with the OS includes gestures such as swipe, tap, pinch, and reverse pinch, all of which have specific definitions within the context of the iOS operating system and its multi-touch interface. Internal accelerometers are used by some applications to respond to shaking the device (one common result is the undo command) or rotating it in three dimensions (one common result is switching from portrait to landscape mode).

iOS shares with OS X some frameworks such as Core Foundation and Foundation; however, its UI toolkit is Cocoa Touch rather than OS X's Cocoa, so that it provides the UIKit framework rather than the AppKit framework. It is therefore not compatible with OS X for applications. Also while iOS also shares the Darwin foundation with OS X, Unix-like shell access is not available for users and restricted for apps, making iOS not fully Unix-compatible either.

Major versions of iOS are released annually. The current release, iOS 8.4, was released on June 30, 2015. In iOS, there are four abstraction layers: the Core OS layer, the Core Services layer, the Media layer, and the Cocoa Touch layer. The current version of the operating system (iOS 8), dedicates 1.3-1.5 GB of the device's flash memory for the system partition, using roughly 800 MB of that partition (varying by model) for iOS itself. It runs on the iPhone 4S and later, iPad 2 and later, all models of the iPad Mini, and the 5th-generation iPod Touch and later.",Mobile
Apple Mac OS,true,1984-01-24,Apple,Apple,,,,,,,,"Mac OS is a series of graphical user interface–based operating systems developed by Apple Inc. for their Macintosh line of computer systems. The original operating system was first introduced in 1984 as being integral to the original Macintosh, and referred to as the ""System"". Referred to by its major revision starting with ""System 6"" and ""System 7"", Apple rebranded version 7.6 as ""Mac OS"" as part of their Macintosh clone program in 1996. The Macintosh, specifically its system software, is credited with having popularized the early graphical user interface concept.  There have been two operating systems popularly known as ""Mac OS"". Up to major revision 9, from 1984 to 2000, it is historically known as Classic Mac OS. Major revision 10, from 2001 to present, is branded OS X (originally referred to as Mac OS X). Major revisions to the Macintosh OS are now issued as point revisions, such that, for example, 10.2 is substantially different from 10.5. Both operating systems share a general interface design, and there has been some overlap of application frameworks for compatibility; but the two systems have different origins and use deeply different architectures.",Computers
Microsoft Xbox,true,2001-11-15,Microsoft Corporation,Flextronics International Ltd.,Intel Pentium III KC @ 733 MHz,64 MB DDR SDRAM,"Nvidia NV2A ""XGPU"" @ 233 MHz","Nvidia SoundStorm ""MCPX""","NTSC: 480i, 480p, 720p, 1080i / PAL: 576i, 576p, 720p, 1080i",DVD-ROM,4,"The Microsoft Xbox is a sixth generation (1998–2013) home video game console developed and distributed by Microsoft. It was released on November 15, 2001 in North America at a retail price of $299.99. The console was later released in Europe (2002), Japan (2002), and Australia (2002). The Xbox was the first game console to have a built in hard disk. The console was discontinued on March 2, 2009.",Consoles
Microsoft Xbox 360,true,2005-11-22,Microsoft Corporation,"Flextronics International Ltd., Foxconn Technology Group, Celestica Inc., Wistron Corporation","PowerPC ""Xenon"" @ 3.2 GHz",512 MB,"ATI R520 ""Xenos"" @ 500 MHz","Over 256 audio channels and 320 independent decompression channels using 32-bit processing for audio, with support for 48 kHz 16-bit sound.","NTSC: 480i, 480p, 720p, 1080i, 1080p / PAL: 576i, 576p, 720p, 1080i, 1080p",Dual-Layer DVD-ROM,4,"The Microsoft Xbox 360 is a seventh generation (2005–2017) home video game console developed and distributed by Microsoft. It was released on November 22, 2005 in North America at a retail price of $299.99 or $399.99, depending on the model. The console was later released in Europe (2005), Japan (2005), South America (2006), and Australia (2006). The Xbox 360 was known for its graphical power at the time, as well as defining controller free gameplay via the Kinect device. The console was discontinued on April 20, 2017.",Consoles
Microsoft Xbox One,true,2013-11-22,Microsoft,Microsoft,Custom 1.75 GHz AMD 8-core APU (2 quad-core Jaguar modules),8 GB DDR3 (5 GB available to games),853 MHz AMD Radeon GCN architecture (inside of APU),7.1 surround sound,"4K, 1080p, and 720p","Blu-Ray, DVD, CD",8,"The Microsoft Xbox One is an eighth generation (2012-present) home video game console developed and distributed by Microsoft. It was released on November 22, 2013 in North America at a retail price of $499.99. The console was simultaneously released in Europe (2013), South America (2013), Australia (2013) and later Japan (2014). The Xbox One is marketed as an all-in-one entertainment system, providing games, movies, music, and web browsing from the console. As of this date, the console is still in production.",Consoles
SNK Neo Geo Pocket,true,1998-12-31,SNK,SNK,Toshiba TLCS900H,4 bit internal memory,N/A,Z80,256x256 virtual screen,Cartridge,1,"The Neo Geo Pocket is a monochrome handheld game console released by SNK. It was the company's first handheld system and is part of the Neo Geo family. It debuted in Japan in late 1998 but never saw a western release, being exclusive to Japan and smaller Asian markets such as Hong Kong.  The Neo Geo Pocket is considered to be an unsuccessful console. Lower than expected sales resulted in its discontinuation in 1999, and was immediately succeeded by the Neo Geo Pocket Color, a full color device allowing the system to compete more easily with the dominant Game Boy Color handheld, and which also saw a western release. Though the system enjoyed only a short life, there were some significant games released on the system such as Samurai Shodown, and King of Fighters R-1.",Handhelds
SNK Neo Geo Pocket Color,true,1999-03-16,SNK,SNK,"Toshiba TLCS900H, Z80 (sound)",12 KB (900H) and 4 KB (Z80 and 900H),N/A,"SN76489, T6W28 (3 tone 1 noise)",160x152 (256x256 virtual screen),Cartridge,1,"The Neo Geo Pocket Color (also stylized as NEOGEOPOCKET COLOR, often abbreviated NGPC), is a 16-bit color handheld video game console manufactured by SNK. It is a successor to SNK's monochrome Neo Geo Pocket handheld which debuted in 1998 in Japan, with the Color being fully backward compatible. The Neo Geo Pocket Color was released on March 16, 1999 in Japan, August 6, 1999 in North America, and on October 1, 1999 in Europe, entering markets all dominated by Nintendo.  After a good sales start in both the U.S. and Japan with 14 launch titles (a record at the time) subsequent low retail support in the U.S., lack of communication with third-party developers by SNK's American management, the craze about Nintendo's Pokémon franchise, anticipation of the 32-bit Game Boy Advance, as well as strong competition from Bandai's WonderSwan in Japan, led to a sales decline in both regions.  Meanwhile, SNK had been in financial trouble for at least a year; the company soon collapsed, and was purchased by American pachinko manufacturer Aruze in January 2000. However, Aruze didn't support SNK's video game business enough, leading to SNK's original founder and several other employees to leave and form a new company, BrezzaSoft. Eventually on June 13, 2000, Aruze decided to quit the North American and European markets, marking the end of SNK's worldwide operations and the discontinuation of Neo Geo hardware and software there. The Neo Geo Pocket Color (and other SNK/Neo Geo products) did however, last until 2001 in Japan. It was SNK's last video game console, as the company went bankrupt on October 22, 2001.  Despite its failure the Neo Geo Pocket Color has been regarded as an influential system. Many highly acclaimed games were released for the system, such as SNK vs. Capcom: The Match of the Millennium, King of Fighters R-2, and other quality arcade titles derived from SNK's MVS and AES. It also featured an arcade-style microswitched 'clicky stick' joystick, which was praised for its accuracy and being well-suited for fighting games. The system's display and 40-hour battery life were also well received.",Handhelds
SNK Neo Geo AES,true,1990-01-31,SNK,SNK,"Motorola 68000, Zilog Z80A co-processor",64 KB main + 2 KB sound and 68 KB video RAM,"SNK chipset (LSPC2-A2, PRO-B0, PRO-A0)",Yamaha YM2610 15 sound channels,320x224,Cartridge,2,"The Advanced Entertainment System (AES), originally known just as the Neo Geo, is the first video game console in the family. The hardware features comparatively colorful 2D graphics. The hardware was in part designed by Alpha Denshi (later ADK).  Initially, the home system was only available for rent to commercial establishments, such as hotel chains, bars and restaurants, and other venues. When customer response indicated that some gamers were willing to buy a US$650 console, SNK expanded sales and marketing into the home console market. The Neo Geo console was officially launched on 31 January 1990 in Osaka, Japan. The AES is identical to its arcade counterpart, the MVS, so arcade games released for the home market are nearly identical conversions.",Consoles
Nintendo 3DS,true,2011-02-26,Nintendo RED,"Nintendo, Foxconn","ARM11 (dual-core), ARM9 (1-core)","128 MB FCRAM, 6 MB VRAM",PICA200,Stereo,"Top 400x240 per eye, Bottom (touch) 320x240","3DS & DS Game Cards, SD/SDHC, Digital",1,"The Nintendo 3DS, abbreviated to 3DS, is a portable game console produced by Nintendo. It is capable of displaying stereoscopic 3D effects without the use of 3D glasses or additional accessories. Nintendo announced the device in March 2010 and officially unveiled it at E3 2010 on June 15, 2010. The console succeeds the Nintendo DS, featuring backward compatibility with older Nintendo DS and Nintendo DSi video games.",Handhelds
Nintendo 64,true,1996-06-23,Nintendo IRD,"Nintendo, Foxconn",64-bit NEC VR4300,4 MB RDRAM expandable to 8 MB,64-bit SGI RCP,64-bit SGI RCP,"Up to 480i (576i PAL region), also widescreen","ROM Cartridge, Magnetic disc R/W (with 64DD)",4,"Named for its 64-bit central processing unit, it was released in June 1996 in Japan, September 1996 in North America, March 1997 in Europe and Australia, September 1997 in France and December 1997 in Brazil.

As part of the fifth generation of gaming, the N64 competed primarily with the PlayStation and the Sega Saturn. The Nintendo 64 was launched with three games: Super Mario 64 and Pilotwings 64, released worldwide; and Saikyo Habu Shogi, released only in Japan.

While the N64 was succeeded by Nintendo's MiniDVD-based GameCube in November 2001, N64 consoles remained available until the system was retired in late 2003.",Consoles
Nintendo DS,true,2004-11-21,Nintendo,Foxconn,ARM946E-S and ARM7TDMI,4 MB,ARM946E-S,ARM7TDMI,256x192 (native) and 240x160 (GBA mode),"DS game card, GBA cartridge",,"The Nintendo DS or simply, DS, is a 32-bit dual-screen handheld game console developed and released by Nintendo. The device went on sale in North America on November 21, 2004. The DS, short for ""Developers' System"" or ""Dual Screen"", introduced distinctive new features to handheld gaming: two LCD screens working in tandem (the bottom one featuring a touchscreen), a built-in microphone, and support for wireless connectivity. Both screens are encompassed within a clamshell design similar to the Game Boy Advance SP. The Nintendo DS also features the ability for multiple DS consoles to directly interact with each other over Wi-Fi within a short range without the need to connect to an existing wireless network. Alternatively, they could interact online using the now-closed Nintendo Wi-Fi Connection service.",Handhelds
Nintendo Entertainment System,true,1985-10-18,Nintendo R&D2,"Nintendo Co., Ltd.",8-bit Ricoh 2A03 @ 1.79 MHz (NTSC) or 8-bit Ricoh 2A07 @ 1.66 MHz (PAL),"2 KB RAM, 2 KB video RAM",Ricoh 2C02 @ 5.4 MHz (NTSC) or RP2C07 (PAL) PPU,PSG 5 channel mono,NTSC: 256x224p / PAL: 256x240p,Cartridge,2,"The Nintendo Entertainment System is an 8-bit video game console that was released by Nintendo in North America during 1985, in Europe during 1986 and Australia in 1987. In most of Asia, including Japan (where it was first launched in 1983), China, Vietnam, Singapore, the Middle East and Hong Kong, it was released as the Family Computer, commonly shortened as either the romanized contraction Famicom, or abbreviated to FC. In South Korea, it was known as the Hyundai Comboy, and was distributed by Hynix which then was known as Hyundai Electronics.",Consoles
Nintendo Game Boy,true,1989-04-21,Nintendo,Nintendo,Sharp LR35902,8 KB SRAM and 8 KB video RAM,N/A,4 channel mono,160x144,Cartridge,1,"The Game Boy is an 8-bit handheld video game console developed and manufactured by Nintendo. It was released in Japan on April 21, 1989, in North America in August 1989, and in Europe in 1990. In Southern Asia, it is known as the ""Tata Game Boy"" It is the first handheld console in the Game Boy line. It was created by Gunpei Yokoi and Nintendo's Research and Development — the same staff who had designed the Game & Watch series as well as several popular games for the NES.  The Game Boy was Nintendo's second handheld system following the Game & Watch series introduced in 1980, and it combined features from both the Nintendo Entertainment System and Game and Watch. It was also the first handheld game to use video game cartridges since Milton Bradley's Microvision handheld console. It was originally bundled with the puzzle game Tetris.  Despite many other, technologically superior handheld consoles introduced during its lifetime, the Game Boy was a tremendous success. The Game Boy and Game Boy Color combined have sold 118.69 million units worldwide. Upon its release in the United States, it sold its entire shipment of one million units within weeks.",Handhelds
Nintendo Game Boy Advance,true,2001-06-11,Nintendo,Nintendo,ARM7TDMi and Z80 co-processor,"32 KB + 96 KB VRAM (CPU), 256 KB DRAM (ex CPU)",Custom 2D core,Dual 8-bit DAC plus all Gameboy legacy channels,240x160,ROM cartridge,1,"The Game Boy Advance (abbreviated as GBA) is a 32-bit handheld video game console developed, manufactured and marketed by Nintendo as the successor to the Game Boy Color. It was released in Japan on March 21, 2001, in North America on June 11, 2001, in Australia and Europe on June 22, 2001, and in mainland China on June 8, 2004 (iQue Player). Nintendo's competitors in the handheld market at the time were the Neo Geo Pocket Color, WonderSwan, GP32, Tapwave Zodiac, and the N-Gage. Despite the competitors' best efforts, Nintendo maintained a majority market share with the Game Boy Advance.  As of June 30, 2010, the Game Boy Advance series has sold 81.51 million units worldwide. Its successor, the Nintendo DS, was released in November 2004 and is also compatible with Game Boy Advance software.",Handhelds
Nintendo Game Boy Color,true,1998-10-21,Nintendo,Nintendo,Sharp LR35902 based on Zilog Z80,32 KB plus 16 KB VRAM,N/A,4 channel mono,160x144,Cartridge,1,"The Game Boy Color, (abbreviated as GBC) is a handheld game console manufactured by Nintendo, which was released on October 21, 1998 in Japan and was released in November of the same year in international markets. It is the successor of the Game Boy.  The Game Boy Color, as suggested by the name, features a color screen, but no backlight. It is slightly thicker and taller than the Game Boy Pocket, which is a redesigned Game Boy released in 1996. As with the original Game Boy, it has a custom 8-bit processor somewhat related to a Zilog Z80 central processing unit (CPU). The original name - with its American English spelling of ""color"" - remained unchanged even in markets where ""colour"" was the accepted English spelling.  The Game Boy Color's primary competitors were the much more advanced Neo Geo Pocket by SNK and the WonderSwan by Bandai (both released in Japan only), though the Game Boy Color outsold these by a wide margin. The Game Boy and Game Boy Color combined have sold 118.69 million units worldwide. It was discontinued in 2003, shortly after the release of the Game Boy Advance SP.",Handhelds
Nintendo GameCube,true,2001-11-18,Nintendo,Nintendo / Foxconn,IBM PowerPC Gekko,43 MB total non-unified RAM,ATI Flipper LSI,Dolby Pro Logic II,640×480,Disc,4,"The Nintendo GameCube was the first Nintendo console to use optical discs as its primary storage medium. In contrast with the GameCube's contemporary competitors, Sony's PlayStation 2, Sega's Dreamcast and Microsoft's Xbox, the GameCube uses mini DVD-based discs instead of full-size DVDs. Partially as a result of this, it does not have the DVD-Video playback functionality of these systems, nor the audio CD playback ability of other consoles that use full-size optical discs.",Consoles
Nintendo Virtual Boy,true,1995-07-21,Nintendo,Nintendo,NEC V810 32-bit RISC,1 MB DRAM and 512 KB P-SRAM,Reflection Technologies Inc Scanning LED array,Digital stereo,384x224,Cartridge,1,"The Virtual Boy is a 32-bit table-top video game console developed and manufactured by Nintendo. Released in 1995, it was marketed as the first console capable of displaying stereoscopic 3D. The player uses the console in a manner similar to a head-mounted display, placing their head against the eyepiece to see a red monochrome display. The games use a parallax effect to create the illusion of depth. Sales failed to meet targets, and by early 1996, Nintendo ceased distribution and game development after shipping 1.26 million units and releasing 22 games.  Development of the Virtual Boy lasted four years, and began originally under the project name of VR32. Nintendo entered a licensing agreement to utilize a 3D LED eyepiece technology originally developed by U.S.-based company Reflection Technology. It also built a factory in China to be used exclusively for Virtual Boy manufacturing. Over the course of development, the console technology was down-scaled due to high costs and potential health concerns. Furthermore, an increasing amount of company resources were being re-allocated to Nintendo 64 development. Lead Nintendo game designer, Shigeru Miyamoto, had little involvement with the Virtual Boy software. The console was pushed to market in an unfinished state in 1995 to focus on Nintendo 64 development.  The Virtual Boy was panned by critics and was a commercial failure. Its failure has been cited as due to its high price, monochrome display, unimpressive 3D effect, lack of true portability, health concerns, and low quality games. Its negative reception was unaffected by continued price drops. 3D technology in video game consoles re-emerged in later years to more success, including in Nintendo's own 3DS handheld console. The Virtual Boy is Nintendo's second lowest-selling platform after the 64DD.",Consoles
