"created_at","description","favourites_count","followers_count","friends_count","geo_enabled","id","id_str","lang","listed_count","location","name","screen_name","statuses_count","time_zone","verified"
02/11/09 03:53 PM,"Woman42. Mom. Kids15.12.6. DigitalStrategist. CollegeProfessor. #MomsRunning Founder. RowerGirl. Locavore. Dilettante. PrimiativePhotographer. GlobeTrotter.",4047,18874,669,FALSE,20598091,20598091,"en",886,"* Michigan + London *","Melissa Dawn Lierman","DigitalGeekGirl",54901,"Eastern Time (US & Canada)",FALSE
08/22/12 01:05 AM,"613 Locavore is a Ottawa resident eating 100% local diet- well maybe 98%. Tweets by Jessie Sadler",0,183,170,TRUE,772606249,772606249,"en",5,"Ottawa, Canada","613 Locavore","613Locavore",63,"Eastern Time (US & Canada)",FALSE
11/21/07 09:56 PM,"Writer. Ingenue. Locavore.",13615,2323,338,TRUE,10452382,10452382,"en",94,"Los Angeles, CA","philippe iujvidin","philyuck",17572,"Pacific Time (US & Canada)",FALSE
11/04/11 10:02 PM,"food/travel/beauty/interiors and still life photographer. one half of the photo duo  gentl and hyers.
photographer, mother. blogger. writer. locavore.",141,1202,931,TRUE,405124585,405124585,"en",32,"new york","andrea gentl","andreagentl",1668,"Central Time (US & Canada)",FALSE
06/16/10 08:00 AM,"Réseau de communautés d'achat direct aux producteurs locaux. #Alimentation #Locavore #CircuitCourt #ConsoCollab #ESS #Agriculture",87,5677,698,FALSE,156197800,156197800,"fr",191,"Paris","La Ruche qui dit Oui","ruchequiditoui",1817,"Greenland",FALSE
12/04/08 07:02 PM,"Bestselling author of #Consumed:Food for a Finite Planet; Locavore;+ new kids food book Starting from Scratch. Journalist. CBC food columnist. Cyclist!",94,5399,845,FALSE,17874869,17874869,"en",362,"Toronto","Sarah Elton","SarahAElton",3846,"Central Time (US & Canada)",FALSE
01/21/10 09:48 PM,"Writer, editor, content marketing consultant, career development coach, locavore, blogger, home baker, MMO player. Social media content curator for hire.",1443,2123,1564,TRUE,107217315,107217315,"en",137,"San Francisco, CA","Erika Heald ","SFerika",12201,"Pacific Time (US & Canada)",FALSE
07/09/12 01:46 PM,"Locavore, foodie, cocktail enthusiast, UU evangelist, mom, wife, lesbian, daughter, loyal friend, sci-fi geek, IT nerd, musician, reluctant activist",17,41,142,FALSE,631105727,631105727,"en",0,,"jennifer may","locavore_lover",63,,FALSE
12/07/08 04:01 AM,"Bartender, teacher, writer, single dad, dog owner, food blogger, locavore",7,1598,1966,FALSE,17935524,17935524,"en",31,"Denver, Colorado","Todd Mayville","Todd_Mayville",1873,"Mountain Time (US & Canada)",FALSE
02/24/09 08:23 PM,"Integrative RD. New mom, farmer, & viticulturist. Yogi. INFP. Voracious health & wellness researcher. Moderately crunchy. Omnivorous locavore, yet chocoholic.",26,3284,1038,FALSE,21792723,21792723,"en",146,"Maryland","Nicole F Holovach RD","WholeHealthRD",5432,"Eastern Time (US & Canada)",FALSE
05/09/08 08:15 PM,"Traveler, parent to 6yo and border collie, writer, business consultant, locavore and wine lover.  I'm all about travel with the kids, not for the kids.",72,2409,2105,TRUE,14717525,14717525,"en",98,"iPhone: 24.436115,54.635365","Meg Keough","backpacktobuggy",1421,"Eastern Time (US & Canada)",FALSE
04/13/13 01:54 AM,"The Locavore is a patented state of the art organic hydroponic farm that provides fresh locally grown produce to the residents of Whitehorse.",0,15,12,FALSE,1348116222,1348116222,"en",1,"Whitehorse, Yukon","The Locavore","YukonLocavore",6,,FALSE
03/10/09 11:43 PM,"Author of seven novels including Death Was in the Blood out June 2013. Editor of January Magazine. Locavore. (And not just during the full moon.)",3,3192,2062,FALSE,23683439,23683439,"en",225,,"Linda L. Richards","lindalrichards",4037,"Pacific Time (US & Canada)",FALSE
11/12/09 06:30 PM,"Locavore. Lover of sparkles, travel, pink & avocados. Often found exploring epic trails, on two wheels or listening to live music. Leads Digital @vegateam",2617,1916,807,TRUE,89507026,89507026,"en",108,"Vancouver, BC","Katie","kat_drex",12397,"Pacific Time (US & Canada)",FALSE
01/04/10 06:03 PM,"public radio's south side lois lane; co-author http://t.co/vumEF4pWgM and co-author of 'Deconstructing Tyrone.' locavore. aspiring tennis babe.",3,2695,1666,FALSE,101823277,101823277,"en",138,"Chicago","Natalie Y Moore","natalieymoore",7517,"Central Time (US & Canada)",FALSE
09/15/09 09:27 PM,"Toronto's Only Locavore Food Store",12,2998,1098,FALSE,74560977,74560977,"en",141,"Toronto, Ontario Canada","Culinarium","Culinarium_TO",2370,"Eastern Time (US & Canada)",FALSE
07/03/12 09:19 PM,"The Ohio Locavore project is one woman's quest to connect with her adopted state through its local farmers, artisans and craftsmen. Website coming soon...",0,43,135,FALSE,625902178,625902178,"en",1,,"Ohio Locavore","OhioLocavore",31,,FALSE
03/09/09 06:13 PM,"@Klout Dir. of People & Culture + North Beach Locavore + Aspiring Children's Book Writer + Food Eater + Globetrotter + Reality TV Watcher + Snake Charmer",234,1099,609,TRUE,23473442,23473442,"en",46,"San Francisco, CA","Katelin Holloway","katelin_cruse",4582,"Pacific Time (US & Canada)",FALSE
03/11/07 01:51 AM,"Creative, Project Mgr, Marketer, Locavore, Cyclist, Media Lover, descendent of Mirabeau B. Lamar, Geographer. Hablo español.",15,361,294,FALSE,895051,895051,"en",11,"Tehran","Laura Carbonneau","lauratex",1955,"Eastern Time (US & Canada)",FALSE
03/12/09 03:18 PM,"@GoodMorningOklahoma & @GoodDayTulsa - @KTULnews Texas born, Sooner bred. Looking for good eats, good stories & good people in T-Town. #kaleyeah #locavore",922,2593,553,FALSE,23965619,23965619,"en",57,"Tulsa, OK","Laura Neal","LauraNealTV",13655,"Central Time (US & Canada)",FALSE
08/06/12 09:45 PM,"Club Locavore is a community that makes finding food produced within 200 miles a piece of cake. It's easy to find products, restaurants, recipes and deals!",0,22,18,FALSE,741508496,741508496,"en",1,"Calgary, Alberta","Club Locavore","ClubLocavore",1,,FALSE
05/12/08 11:25 PM,"A trifecta of goodness: Art Director, Music freak, Locavore of cuisine & culture.",582,1608,1587,TRUE,14751522,14751522,"en",55,"Columbus, OH","Joy Hart","HeyJoy",2593,"Eastern Time (US & Canada)",FALSE
03/31/07 02:09 PM,"I'm an agent of change. #father #locavore #community #librarian",339,2628,2162,FALSE,3063161,3063161,"en",317,"The same Earth we all share","Luciano","lucorico",35699,"Indiana (East)",FALSE
05/31/09 07:38 AM,"environmentalist, communicator, tourist, wikipedia to some, writer, editor, locavore, politically savy, humanist, design-conscious & future hotelier",590,1546,642,TRUE,43659040,43659040,"en",15,"Jakarta","Jaka Setia","jeJAKAki",24868,"Jakarta",FALSE
01/19/07 02:13 AM,"Mobile UX Designer bridging the gap between offline and online commerce. Rock Climber, Locavore, Husband of the best Pastry Chef in Portland! ;)",250,1059,700,TRUE,662813,662813,"en",114,"Portland, OR","Chad Mortensen","ChadMortensen",7193,"Pacific Time (US & Canada)",FALSE
01/02/09 02:26 PM,"@KPCWRadio Film Critic, Sports & Tourism PR Specialist, & Avid Locavore",309,683,888,TRUE,18552833,18552833,"en",29,"40.6594° N, 111.4997° W","Linda Jager","pclinda",1528,"Mountain Time (US & Canada)",FALSE
02/15/12 08:04 PM,"Locavore buying club is much like a food co-operative, but much more!",0,18,26,FALSE,493435103,493435103,"en",0,"Sherbrooke, QC","Locavore Buying Club","LocavoreBC",7,,FALSE
12/08/08 02:12 PM,"St. Louis Architect, Husband, Father, Locavore; Passionate about Real Estate, Design, Craftbreer, Stocks, Family, and Social Media
I randomly follow STL ppl too",2088,6190,5240,TRUE,17963088,17963088,"en",459,"St. Louis ","Jason Wagner","threefourteen",70210,"Central Time (US & Canada)",FALSE
11/03/13 07:40 AM,"Reading, big food nerd & an avid coffeeaholic. Its the caffeine that keeps me going! Sharing all I find on #Locavore for the BHive News Network.",0,263,306,FALSE,2171733877,2171733877,"en",0,"Boulder Colorado","Locavore News","LocavoreNews",119,"Chennai",FALSE
04/16/10 09:05 PM,"Interactive Product Strategist & Architect. Tradigital marketer. DC locavore and explorer. Dabbles in music reviews focusing on the experience for @welovedc",36,235,122,TRUE,133864917,133864917,"en",15,"Washington, DC","Digital Rebecca","digibec",1457,,FALSE
08/02/11 10:40 AM,"One part food media, one part produce store, The Locavore Edition is an interactive guide to regional produce and the people that grow it.",0,29,9,TRUE,347149975,347149975,"en",1,"Victoria, Australia","The Locavore Edition","LocavoreEdition",0,"Hawaii",FALSE
01/07/11 05:50 PM,"Designerd. Barista in training @anthologycoffee, bicyclist + founder @FarmadaFreeride. Rabid locavore. Proud Michigander. Beer.",6134,1559,2001,TRUE,235233914,235233914,"en",63,"Farmada + Detroit + Michigan","Alyssa Goch","alyssagoch",20699,"Eastern Time (US & Canada)",FALSE
04/22/08 07:41 PM,"Multi-Media Journalist, Vol Firefighter, Geek, Social-media addict, 5th Grade Humor Enthusiast, Beer Lover, Cincy Fan, Locavore, Foodie",192,957,1963,TRUE,14479299,14479299,"en",33,"Cincinnati, Ohio","Chris Knight","PhotogOnFire",5605,"Eastern Time (US & Canada)",FALSE
05/04/12 04:23 PM,"Locavore Connections - digital source for B2C agriculture & horticulture industry. Donna Banach, Proprietor.",0,5,0,FALSE,571042899,571042899,"en",0,"Western NY Region","Donna Banach","LocavoreConnec",1,,FALSE
07/31/12 07:04 PM,"Locavore wannabe. As the grandson of a farmer from Farmville, VA I always try to support local farmers. It feels good because it IS good... #locavore",0,11,20,TRUE,729019548,729019548,"en",0,"Chantilly, VA","Locavore.Me","LocavoreMe",11,"Eastern Time (US & Canada)",FALSE
01/27/08 10:15 PM,"Eternal optimist with a dash of realism. New mom. Marketer. Film Buff. Animal Lover. Locavore Vegetarian. (not necessarily in that order)",66,455,671,FALSE,12762362,12762362,"en",4,"Toronto","Brandilicious","brandi_licious",1831,"Eastern Time (US & Canada)",FALSE
10/07/10 04:10 PM,"Social Media Strategist, lover of all things food, wine enthusiast, inspired traveler, but a locavore at heart. Author of Smitten with Squash, July 2014.",2629,1215,683,FALSE,199730519,199730519,"en",58,"St. Paul, MN","Amanda Paa","amanda_paa",12956,"Central Time (US & Canada)",FALSE
07/21/09 01:05 AM,"Locavore Blogger NYC and Long Island",0,12,0,FALSE,58652969,58652969,"en",0,"East Coast, USA","Lexi Van de Walle","NYCityLocavore",1,"Eastern Time (US & Canada)",FALSE
10/29/10 04:36 AM,"Chefs for Farmers is a grassroots organization that raises awareness for the locavore movement in Texas.",15,2228,1540,FALSE,209420697,209420697,"en",57,"Texas","Chefs for Farmers","chefsforfarmers",322,"Central Time (US & Canada)",FALSE
04/15/09 02:13 AM,"Official Twitter feed for Daily Acts. Northern CA sustainability tours and workshops, mindful actions, and locavore ideas.",4,1085,1134,FALSE,31307614,31307614,"en",61,"Petaluma, Northern California","Daily Acts","DailyActs",241,"Pacific Time (US & Canada)",FALSE
01/27/09 04:29 PM,"Mother, Grammar Queen, tech geek wannabe, blogger, do gooder, writer, teacher, locavore, ag groupie, Lutheran.",576,1904,2089,FALSE,19599904,19599904,"en",98,"Northwest Arkansas","Angie Albright","AngieAlbright",6265,"Central Time (US & Canada)",FALSE
03/26/07 08:53 PM,"Husband To @leahvflanagan, Dad Of 2 Kiddos, VP of Digital Marketing @SimonMalls, Mobile+Social+Local Geek, Multi-Instrumentalist, Locavore, Craft Beer Fan",20,1020,1617,TRUE,2357181,2357181,"en",50,"Indianapolis, IN","Patrick M. Flanagan","narpole",2262,"Eastern Time (US & Canada)",FALSE
04/14/09 05:21 AM,"Foodisima is a caterer with locavore leanings based in the beautiful Gulf Islands off Canada's West Coast.",0,993,680,FALSE,31065544,31065544,"en",39,"Galiano Island, BC","Foodisima","Foodisima",377,"Pacific Time (US & Canada)",FALSE
01/15/10 01:13 AM,"A celebrated Locavore chef, living and cooking in the The Hills of Headwaters region one hour north of Toronto.",1,1710,1980,FALSE,104993481,104993481,"en",75,"Canada","Michael Potters","MichaelPotters",120,"Central Time (US & Canada)",FALSE
08/03/07 05:28 PM,"Maker and marketer @isobarUS. Locavore, espresso drinker & consumer of fine spirits. Tweets are my own.",49,1034,311,TRUE,7936932,7936932,"en",62,"Boston, MA","Bryan Maleszyk","BryanFromBoston",4245,"Eastern Time (US & Canada)",FALSE
01/24/09 08:10 PM,"Locavore, Lady DJ, Herbalist, Knower",13,514,1088,TRUE,19461029,19461029,"en",16,"Somerville, MA","Angela Gaimari","angiedonuts",962,"Eastern Time (US & Canada)",FALSE
07/16/10 11:54 AM,"A social history and Eng Lit loving locavore tech geek.",16,435,306,FALSE,167365470,167365470,"en",17,"Cambridge, ON, Canada","Dana B","common_st",39269,"Quito",FALSE
03/31/09 08:56 PM,"I'm a New Orleanian, a proud husband, an insurance guy and a locavore. Hobby: growing herbs, fruits & veggies in my back yard. #WHODAT",14,874,413,FALSE,27961206,27961206,"en",31,"New Orleans","Semmes Walmsley","Tsemmes",2304,"Central Time (US & Canada)",FALSE
04/03/09 10:21 PM,"Maui Private Chef for hire, founding board of @SlowFoodMaui, beekeeper, locavore, happy, waterbaby, horticulturalist, champion of getting the world to cook",20,1076,635,TRUE,28669569,28669569,"en",83,"Hawaii","Jana McMahon","JanaMcMahon",8323,"Hawaii",FALSE
02/26/12 11:22 PM,"Recipes: sometimes #paleo & #glutenfree.
Your source for Local #Denver Food Events.

Organizer of Denver area Locavore meetup group: http://t.co/2oQp6UvtCb",71,2446,2126,FALSE,505120758,505120758,"en",44,"Denver, CO","Rose Dashner","GrassrootsChef",1490,"Arizona",FALSE
02/04/09 12:48 AM,"Life-long student, lover of the outdoors, spiritual being, youth empowerment, practical environmentalist. Part of the #locavore #solution.",143,692,1981,TRUE,20017758,20017758,"en",8,"Athens, Ohio","Elisa Schafer","elisaschafer",2513,"Eastern Time (US & Canada)",FALSE
05/20/08 07:17 PM,"Digital Marketer, Skateboarder, Snowboarder, Foodie, Bookworm, Locavore, Native New Yorker",9,1279,1994,FALSE,14848840,14848840,"en",50,"Mesa, AZ","Mark DiOrio","MarkDiOrio",1390,"Arizona",FALSE
07/24/09 02:10 AM,"Publicist. Adventurer. Locavore. Activist. Animal advocate. Culture junkie. Fashionista. MCM fan.",68,980,1015,TRUE,59660859,59660859,"en",37,,"Stevi Stoesz","bikerbabe1969",2064,"Indiana (East)",FALSE
04/07/09 08:26 PM,"Cleveland's Best Locavore Brunch is in Tremont. Scratch cooking, locally sourced, made with the greatest care.",0,2757,68,FALSE,29535739,29535739,"en",154,"Tremont, Cleveland, Ohio, USA","Luckys Cafe","luckyscafe",602,"Quito",FALSE
04/22/09 02:01 PM,"DoD Analyst, Georgia transplant, locavore, oenophile, grammarian. I'm a copywriter trapped in an analyst's body. Tweets on national security, food and the South",4,591,578,FALSE,34278877,34278877,"en",43,"Arlington, VA, USA","Lauren P","PeachinDC",1933,"Eastern Time (US & Canada)",FALSE
10/23/08 09:31 PM,"Ninja-stealth photographer, locavore, gardener, filmer of zombi.",16,1672,1295,FALSE,16936068,16936068,"en",51,"My imagination","Rebecca Claire Photo","rebeccaclaire",5426,"Eastern Time (US & Canada)",FALSE
12/19/08 09:25 PM,"sharing locavore and sustainable food news and info",0,1052,192,FALSE,18252527,18252527,"en",22,"california","homegrownlocal","homegrownlocal",204,"Pacific Time (US & Canada)",FALSE
07/23/09 12:28 PM,"Marketing professional, graphic artist, web marketing consultant, family locavore, brewer and lover of hops.",8,1312,1944,TRUE,59445085,59445085,"en",96,"Dodgeville, WI, USA","Matt Sweeny","AnotherDesign",1368,"Central Time (US & Canada)",FALSE
09/20/12 07:00 PM,"Managing Editor @InternationalMG - 
Writer, locavore, crossword puzzle enthusiast, and lover of all things kitten related.",1,50,183,FALSE,836156250,836156250,"en",2,,"Jenny Peek","JennyPeek88",23,,FALSE
02/15/09 05:40 AM,"Partner at Clareo. Recovering banker, veteran KZSU DJ, locavore caveman. Themes: values, technology, science & social sector. Go Card. Go Cats.",1620,640,541,TRUE,20895305,20895305,"en",30,"Washington, DC","Allan Platt","AllanPlatt",1904,"Eastern Time (US & Canada)",FALSE
06/09/10 05:53 PM,"Locavore foodie glad to live in West Michigan! Tweeting about life, group facilitation, nonprofit management, and marketing.",1,1006,843,TRUE,153844317,153844317,"en",75,"Grand Rapids, MI","Wendy Hammond","ideasremixed",2625,"Quito",FALSE
02/22/09 11:11 PM,"The best locavore burger in town. Period.",5,1226,146,FALSE,21609249,21609249,"en",171,"Los Angeles, CA","8 oz burger bar","8ozBurgerBar",409,"Pacific Time (US & Canada)",FALSE
01/24/08 03:13 PM,"I geek for fun and farm for joy: organic orchard, free-ranging ducks, chickens, attack geese, and livestock guardian dogs. Locavore in training.",752,951,735,FALSE,12642282,12642282,"en",46,"Wimberley, Texas","Deborah","dasparky",13734,"Central Time (US & Canada)",FALSE
07/25/08 08:42 AM,"connecteur d'idées / personnes, observateurs de tendances - signaux faibles, promoteur outils  2.0 appliqués à l'entreprise, locavore, sansOGM, mécénat, rugby",1457,1197,1994,TRUE,15595854,15595854,"en",84,"France - Belgique - Suisse","gbeuvelot","gbeuvelot",7204,"Paris",FALSE
05/21/09 07:25 PM,"Human Factors PhD student. Teacher. EDM fan. Fake redhead. Locavore. Iced coffee drinker. Always on a journey to find balance. Tweets for @UXPANorfolk.",602,907,734,FALSE,41656614,41656614,"en",72,"Hampton Roads, VA","Alex ","alexproaps",23228,"Eastern Time (US & Canada)",FALSE
04/09/10 02:43 PM,"red hook locavore: we eat food grown within blocks of our homes.",0,442,55,FALSE,131186732,131186732,"en",33,"Red Hook, BK","Red Hook CSA","redhookcsa",618,,FALSE
09/11/08 03:24 AM,"Born and raised in NYC. Activist, idealist, liberal, unschooler, locavore. Hiding from “real America” in Charlottesville, VA. Married w/children to @chasowens6",37,898,1513,FALSE,16233352,16233352,"en",53,"Charlottesville VA","Vijay Berry Owens","VijayOwens",4537,"Quito",FALSE
12/06/06 03:17 AM,"Cyclist, locavore, Craft Beer lover, husband, father, homebrewer, photographer, alpaca farmer, New England sports fan, all around Geek.",266,550,279,FALSE,44293,44293,"en",30,"Pepperell MA","Aaron Ouellette","m750",10161,"Eastern Time (US & Canada)",FALSE
12/26/08 10:15 PM,"Belly dancer, fire spinner, costumer, writer, reader, gamer, weirdo, cat mom, locavore, Scandinavian music fan. In Columbus, Ohio.",579,1146,1236,FALSE,18396429,18396429,"en",66,"iPhone: 0.000000,0.000000","Anne","greenleanings",22678,"Eastern Time (US & Canada)",FALSE
05/19/11 12:35 AM,"Reviewer for @dearauthor and @HeroesnHearts. Passionate romance reader, locavore, and salsa rueda dancer. Also mom to a special needs child in my spare time.",1298,372,161,FALSE,301166913,301166913,"en",27,"West Xylephone","The Aforementioned W","willaful",10899,"Mountain Time (US & Canada)",FALSE
06/13/11 11:57 PM,"The @Cackalacky Kid, bartender @WeathervaneCH, #craftbeer maverick, #ncbeer disciple, locavore, purveyor of delicious, resident optimist, PT lover & FT friend.",91,757,1626,TRUE,316792342,316792342,"en",22,"Durham, North Carolina","Greg Hirsh","gehirsh",1808,"Eastern Time (US & Canada)",FALSE
07/26/12 04:28 AM,"MN-born, New Orleans-trained, all pig at heart.
Passionate locavore, avid competitor.
Cheftestant on @TheTasteABC season 2.",1125,745,249,FALSE,717386780,717386780,"en",18,"Minneapolis, MN","Sarah Master","ChefSarahMaster",1113,"Central Time (US & Canada)",FALSE
02/19/09 02:32 PM,"A locavore and foodie who loves to promote local restaurants, dining deals, craft beers & adult beverages!",132,3256,970,FALSE,21302449,21302449,"en",124,"Dayton, Ohio","DaytonDining","DaytonDining",7949,"Central Time (US & Canada)",FALSE
08/07/09 02:43 PM,"animal welfare, environment, sustainability, social justice, locavore, slow food, gardening, lgbt, atheist; all things cat",3754,8231,8675,FALSE,63738419,63738419,"en",532,"Manhattan, KS","Kathe Garbrick","femmekatz",173871,"Central Time (US & Canada)",FALSE
12/14/10 02:03 PM,"Whether you prefer locavore or localvore, the interest is the same: healthy, sustainable and enviro-friendly food.  Support your local farmers!",15,1379,1978,FALSE,226565933,226565933,"en",70,"Westchester County, NY","local food is better","locavite",2226,"Atlantic Time (Canada)",FALSE
03/21/10 07:55 PM,"Writer. Backyard Farmer. Baker. Cook. Vegetarian. I'm 'Living La Vida Locavore!'",65,1253,1018,TRUE,125128058,125128058,"en",91,"Sacramento, CA","Amber Stott","AwakeAtTheWhisk",3273,"Pacific Time (US & Canada)",FALSE
03/23/09 04:37 PM,"CMO @ Viridian Data Corp. Dog/animal lover. Film and music enthusiast. Locavore. Marketing maven.",0,1949,2267,FALSE,26035365,26035365,"en",43,"Seattle, WA","Samantha St. John","Samantha_Star",866,"Pacific Time (US & Canada)",FALSE
11/27/08 09:55 PM,"Senior Manager, Digital Publishing Penguin Random House.  Brooklynite, e-book fanatic, and locavore.",3,273,362,FALSE,17690615,17690615,"en",11,"New York","KimberlyCowser","KimberlyCowser",387,"Eastern Time (US & Canada)",FALSE
03/12/09 03:26 PM,"VP Strategy @ Blast Radius NYC, Reluctant/Inconsistent Tweeter, Brooklynite, Tech/Ad/Digital/Indie-phile, Locavore, Triathlete, Soccer Fan. Opinions are mine.",40,448,659,FALSE,23967183,23967183,"en",34,"Brooklyn, NY","Gabe Dorosz","GabeTown",1803,"Central Time (US & Canada)",FALSE
03/27/08 01:21 AM,"Executive Director of the Austin Creative Alliance, locavore, traveler.",3,667,580,TRUE,14231693,14231693,"en",22,"Austin, TX","MarcyHoen","MarcyHoen",618,"Central Time (US & Canada)",FALSE
11/18/08 03:56 PM,"farmgirl, locavore, photographer, gardener, chicken lover, foodie",107,752,288,FALSE,17466313,17466313,"en",58,"Arlington, WA","Urban Hennery ","urbanhennery",4087,"Pacific Time (US & Canada)",FALSE
09/24/08 09:30 PM,"digital strategist, yogi, minimalist, locavore, mother, + rolling stone with a passion for language and an insatiable desire to learn",9,1522,1257,TRUE,16441511,16441511,"en",100,"baltimore","Kara Redman","kararedman",2857,"Eastern Time (US & Canada)",FALSE
03/08/09 05:17 AM,"CRAFTbeer gal, social media enthusiast, @CAMRA_YVR Communications, locavore, foodie,  love indie music, my friends, my doggy, my life.",526,1764,1999,TRUE,23279621,23279621,"en",79,"Vancouver","Monica Frost","Socially_Monica",7540,"Pacific Time (US & Canada)",FALSE
03/09/10 04:48 AM,"Culinary adventurer, dietitian, food writer, locavore, mom, author-3 books. Eat clean, eat healthy, enjoy! There isn't a food I won't try. eatwelleatclean.com",0,686,445,FALSE,121328704,121328704,"en",61,"Washington, DC","Diane Welland","eatcleanguru",1360,"Atlantic Time (Canada)",FALSE
04/26/11 03:21 PM,"@EqualVoiceTO Board Member, Youth Advisory Council @TO2015, Young Patron @workingwomencc. Queen's Park. Locavore, runner & step-mom. Trilingue.Views are my own.",48,1003,1704,TRUE,288276762,288276762,"en",19,"Toronto","Gabriela Gonzalez","GabrielaGS_",2249,"Eastern Time (US & Canada)",FALSE
05/19/08 08:26 PM,"GIF ILLUMINATI, JAVA SCRIPT LIVEWIRE, LOCAVORE, BIG DATA STUDENT. NEW FOLLOWERS WILL BE DISAPPOINTED.  BUY ME THINGS ON AMAZON. (http://t.co/yXx0jzJgec)",44,323,484,TRUE,14837637,14837637,"en",20,"Lafayette, LA 70506","Brandon LeBlanc","DemosDemon",12304,"Central Time (US & Canada)",FALSE
11/05/11 12:06 AM,"locavore-centric organic and natural market in Serendra, Taguig, Philippines; fruits, veggies, organic meats",51,675,609,FALSE,405191783,405191783,"en",16,"Serendra, Taguig City","ECHOmarket","echomarket",3822,"Alaska",FALSE
03/23/10 03:43 PM,"A locavore is a person who eats food that has been grown or produced locally to help the environment & the economy. Our market is a locavore's dream!",204,2526,2466,TRUE,125698245,125698245,"en",93,"Doylestown, Bucks County, PA","The Market at DelVal","TheMarketDelVal",2358,,FALSE
03/31/09 03:56 PM,"Creative Brand Strategist, graphic designer, locavore, coffee junkie, world food connoisseur, Spain enthusiast, aspiring cafe owner",3,1190,1004,FALSE,27898335,27898335,"en",38,"Columbus","Dara Schwartz","darista",1061,"Eastern Time (US & Canada)",FALSE
02/22/09 02:17 AM,"Christian, father, & husband. Leader in a character development revolution. Agent of change. Community builder. Locavore & urban farmer.",5,1068,501,TRUE,21537375,21537375,"en",66,"Michigan","Neil Yaremchuk","madeinmich",2065,"Quito",FALSE
03/23/08 04:58 PM,"Writer, PR consultant, agvocate, locavore,, all things sustainable ag/ranching, 3BL, cowgirl & foodie-in-training",2,969,1034,FALSE,14202732,14202732,"en",62,"Minden NV & SF Bay Area ","Susan Ditz","susanditz",3518,"Pacific Time (US & Canada)",FALSE
06/18/09 04:26 PM,"Film publicity @ NYC - Intercontinental locavore",43,620,1609,FALSE,48402363,48402363,"en",16,,"Thessa Mooij","silversalted",1457,"Eastern Time (US & Canada)",FALSE
10/15/08 09:26 PM,"Cinephile. New York. Theatre. Food.   Literature. Indie Music. Locavore. Feminist.",3,94,86,FALSE,16794711,16794711,"en",5,"Central New York","crown_the_queen","crown_the_queen",721,"Eastern Time (US & Canada)",FALSE
